post_id,platform,post_date,content_type,topic,views,likes,comments,shares
1,YouTube,2026-03-09,VIDEO,Design,12431,905,123,101
2,YouTube,2026-03-07,Image,Design,23351,1993,222,238
3,Instagram,2026-01-20,Reel,Business,28532,2985,397,358
4,facebook,2026-03-09,Carousel,Education,49725,5104,809,692
5,Twitter,2026-02-09,Text,Technology,39485,3029,266,281
6,TikTok,2026-02-27,VIDEO,Business,40552,2423,439,339
7,twitter,2026-03-09,Carousel,Finance,25585,1526,206,178
8,tiktok,2026-01-26,Carousel,Technology,29202,3284,334,166
9,twitter,2026-03-24,video,Technology,39352,2493,181,304
10,TWITTER,2026-03-17,Video,Lifestyle,21408,2308,416,211
11,instagram,2026-02-27,IMAGE,Design,46714,5472,306,177
12,instagram,2026-01-23,Video,Lifestyle,28325,1602,284,188
13,facebook,2026-03-12,Image,Technology,10014,352,27,15
14,Instagram,2026-03-22,video,Education,21865,1904,171,94
15,Instagram,2026-03-11,video,Design,28834,1186,183,163
16,youtube,2026-02-07,Carousel,Finance,16654,1844,128,154
17,facebook,2026-02-21,IMAGE,Business,40673,3825,541,200
18,YouTube,2026-03-22,Video,Business,41088,1408,211,105
19,TikTok,2026-02-06,video,Finance,47432,2864,248,349
20,twitter,2026-02-12,Video,Entertainment,20216,1457,258,80
21,YouTube,2026-01-09,IMAGE,Lifestyle,33299,2357,173,191
22,facebook,2026-01-14,text,Technology,19665,992,106,37
23,TikTok,INVALID_DATE,Video,Lifestyle,26180,1838,284,77
24,YouTube,2026-03-13,Carousel,Business,24357,1175,231,164
25,INSTAGRAM,2026-03-23,Video,Design,32061,3723,268,236
26,Instagram,2026-01-13,Text,Finance,41372,3427,330,229
27,twitter,2026-02-23,Reel,Finance,16084,1199,109,100
28,FACEBOOK,2026-03-28,text,Education,33633,-3896,252,382
29,Instagram,2026-02-02,Carousel,Education,25852,1903,118,172
30,YouTube,2026-03-13,Text,Business,15865,1166,128,143
31,,2026-01-20,Carousel,Finance,40017,4580,825,329
